Date,Num Days,Total Cases,New Cases,Active Cases,Deaths,New Deaths,New Cases,New Recoveries
02/15/2020,1,15,0,12,0,0,0,0
02/16/2020,2,15,0,12,0,0,0,
02/17/2020,3,15,0,12,0,0,0,
02/18/2020,4,15,0,12,0,0,0,
02/19/2020,5,15,0,12,0,0,0,
02/20/2020,6,15,0,10,0,0,0,2
02/21/2020,7,35,0,29,0,0,20,1
02/22/2020,8,35,0,29,0,0,0,
02/23/2020,9,35,0,28,0,0,0,1
02/24/2020,10,53,0,48,0,0,18,
02/25/2020,11,57,0,51,0,0,4,1
02/26/2020,12,60,0,54,0,0,3,0
02/27/2020,13,60,0,54,0,0,0,
02/28/2020,14,63,0,57,0,0,3,0
02/29/2020,15,68,0,60,1,1,5,1
03/01/2020,16,75,0,65,1,0,7,2
03/02/2020,17,100,25,85,6,5,25,0
03/03/2020,18,124,24,106,9,3,24,0
03/04/2020,19,158,34,138,11,2,34,0
03/05/2020,20,221,63,200,12,1,63,0
03/06/2020,21,319,98,289,15,3,98,6
03/07/2020,22,435,116,401,19,4,116,0
03/08/2020,23,541,106,504,22,3,106,0
03/09/2020,24,704,163,663,26,4,163,0
03/10/2020,25,994,290,949,30,4,290,0
03/11/2020,26,1301,307,1248,38,8,307,0
03/12/2020,27,1697,396,1625,41,3,396,16
03/13/2020,28,2247,550,2157,49,8,550,10
03/14/2020,29,2943,696,2830,57,8,696,15
03/15/2020,30,3680,737,3353,68,11,737,3
03/16/2020,31,4663,983,4503,86,18,983,15
03/17/2020,32,6411,1748,6196,109,23,1748,32
03/18/2020,33,9259,2848,9003,150,41,2848,0
03/19/2020,34,13789,4530,13474,207,57,4530,2
03/20/2020,35,19383,5594,18980,256,49,5594,39
03/21/2020,36,24207,4824,23729,302,46,4824,29
03/22/2020,37,33566,9359,32975,413,111,9359,
